User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000861,P00003250,M,26-35,1,C,3,1,6,,,14236
1005391,P00000371,M,26-35,18,C,3,1,9,2.0,,5797
1005227,P00000858,M,18-25,9,B,3,0,15,3.0,15.0,3682
1005192,P00004887,M,18-25,2,C,3,0,9,8.0,6.0,12270
1003773,P00004754,M,26-35,11,C,1,0,5,6.0,,23681
1003093,P00000384,M,36-45,15,B,1,0,16,,9.0,6651
1005735,P00003878,F,18-25,11,C,1,0,3,3.0,10.0,5185
1000467,P00002553,F,18-25,7,A,0,1,9,4.0,18.0,21646
1005335,P00004335,M,26-35,4,A,2,1,17,,14.0,9773
1004427,P00004291,M,26-35,10,B,4+,0,3,11.0,3.0,22122
1005579,P00002726,M,26-35,9,A,3,0,7,11.0,8.0,19599
1003445,P00004035,M,26-35,2,B,0,1,7,,3.0,22141
1003172,P00003294,M,18-25,8,A,4+,0,6,9.0,10.0,1486
1002920,P00004252,M,0-17,11,A,4+,1,8,10.0,14.0,5340
1000131,P00003989,F,46-50,5,B,4+,0,4,3.0,18.0,14932
1001686,P00000923,F,36-45,18,B,3,0,15,4.0,3.0,10497
1000770,P00002916,F,36-45,15,A,1,1,6,17.0,6.0,9572
1002392,P00002951,M,26-35,20,A,1,1,16,5.0,,1698
1005612,P00003047,M,36-45,13,B,2,0,5,7.0,,14706
1002434,P00000975,F,51-55,3,C,0,0,12,14.0,10.0,18466
1005312,P00001231,M,36-45,17,C,0,1,14,7.0,8.0,23962
1005052,P00002436,F,26-35,9,A,4+,0,6,11.0,15.0,16796
1001185,P00001815,M,26-35,17,B,3,0,3,18.0,,5336
1004556,P00002935,M,26-35,11,B,1,1,10,9.0,5.0,3959
1003386,P00004934,M,26-35,18,B,1,1,7,10.0,17.0,22521
1004118,P00001364,F,26-35,7,C,1,1,13,3.0,8.0,21781
1004844,P00003941,M,46-50,0,B,0,0,1,18.0,8.0,18648
1002905,P00000204,M,36-45,13,B,3,0,1,,7.0,18183
1000475,P00000161,F,18-25,5,A,1,0,17,12.0,,1878
1001083,P00004488,F,18-25,13,C,4+,1,4,,12.0,15624
1002559,P00000769,M,26-35,1,B,4+,1,14,,11.0,20753
1002048,P00003749,M,0-17,8,B,2,0,6,4.0,16.0,17232
1002748,P00002582,M,26-35,11,B,3,0,14,10.0,,6398
1000976,P00001094,M,26-35,4,B,1,1,15,9.0,7.0,22262
1001807,P00004501,M,26-35,1,C,2,0,1,8.0,9.0,18291
1000190,P00000608,F,55+,18,A,3,0,16,8.0,,9825
1002735,P00001541,F,26-35,6,C,3,0,4,,,22937
1003006,P00002876,M,26-35,6,B,0,1,2,9.0,,3896
1004659,P00003192,M,18-25,9,A,1,1,1,,11.0,10573
1001900,P00001838,M,26-35,16,A,1,0,13,6.0,,3522
1001268,P00000690,M,18-25,13,B,2,0,16,4.0,,2309
1001529,P00003760,M,36-45,10,B,3,0,8,,9.0,19222
1003203,P00002950,M,18-25,19,B,2,0,4,3.0,3.0,8583
1003557,P00002104,M,26-35,5,A,3,0,2,15.0,4.0,12514
1003891,P00000366,M,46-50,7,C,0,0,13,,12.0,19224
1000647,P00003576,F,18-25,18,C,4+,1,5,3.0,,23229
1002889,P00004551,M,26-35,18,C,2,0,13,11.0,10.0,13500
1005394,P00004200,F,26-35,16,B,0,1,5,,11.0,18919
1002436,P00004173,M,36-45,17,B,2,1,16,11.0,17.0,2927
1000601,P00004326,M,26-35,11,A,2,0,6,18.0,13.0,21664
1002364,P00002379,M,26-35,8,A,1,0,16,3.0,,19227
1002062,P00001206,M,36-45,15,C,3,1,13,2.0,14.0,5996
1000242,P00004989,F,26-35,17,C,4+,1,11,,,17619
1002042,P00003840,F,26-35,15,C,1,0,1,5.0,,18194
1002825,P00002736,M,18-25,15,B,2,0,4,2.0,4.0,18828
1002613,P00003348,M,36-45,3,C,0,1,3,,17.0,21270
1001364,P00001676,M,46-50,6,C,4+,0,18,18.0,12.0,23768
1005487,P00000299,M,55+,0,B,1,0,16,4.0,9.0,20458
1001479,P00000957,M,51-55,19,A,1,1,13,3.0,11.0,23678
1002557,P00001115,M,36-45,0,B,2,1,13,,,3603
1000776,P00002506,F,36-45,7,A,0,1,7,5.0,,18842
